"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"59",6,"Bucky Irving",TB,"RB20","10","3 out of 5","4 out of 5","2 out of 5 stars","-15"
"60",6,"D'Andre Swift",CHI,"RB21","10","3 out of 5","3 out of 5","2 out of 5 stars","-5"
"61",6,"Quinshon Judkins",CLE,"RB22","11","4 out of 5","4 out of 5","3 out of 5 stars","-16"
"62",6,"David Montgomery",HOU,"RB23","8","4 out of 5","2 out of 5","4 out of 5 stars","-8"
"63",6,"TreVeyon Henderson",NE,"RB24","11","4 out of 5","3 out of 5","2 out of 5 stars","-13"
"64",6,"Carnell Tate",TEN,"WR30","9","4 out of 5","2 out of 5","3 out of 5 stars","+2"
"65",6,"Caleb Williams",CHI,"QB7","10","5 out of 5","2 out of 5","3 out of 5 stars","+15"
"66",6,"Bhayshul Tuten",JAC,"RB25","7","4 out of 5","3 out of 5","4 out of 5 stars","-7"
"67",6,"Justin Herbert",LAC,"QB8","7","4 out of 5","2 out of 5","2 out of 5 stars","+21"
"68",6,"Marvin Harrison Jr.",ARI,"WR31","14","3 out of 5","4 out of 5","2 out of 5 stars","+1"
"69",6,"Harold Fannin Jr.",CLE,"TE5","11","4 out of 5","3 out of 5","3 out of 5 stars","-4"
"70",6,"Tucker Kraft",GB,"TE6","11","4 out of 5","2 out of 5","2 out of 5 stars","+2"
"71",7,"Jaylen Warren",PIT,"RB26","9","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"72",7,"Jadarian Price",SEA,"RB27","11","4 out of 5","3 out of 5","4 out of 5 stars","-9"
"73",7,"Parker Washington",JAC,"WR32","7","4 out of 5","3 out of 5","4 out of 5 stars","+10"
"74",7,"DK Metcalf",PIT,"WR33","9","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"75",7,"Brian Thomas Jr.",JAC,"WR34","7","3 out of 5","4 out of 5","4 out of 5 stars","0"
"76",7,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","1 out of 5","4 out of 5 stars","+13"
"77",7,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"78",7,"Kyle Pitts Sr.",ATL,"TE7","11","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"79",7,"Chris Godwin Jr.",TB,"WR35","10","3 out of 5","4 out of 5","4 out of 5 stars","+17"
"80",7,"Rhamondre Stevenson",NE,"RB28","11","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"81",7,"Michael Pittman Jr.",PIT,"WR36","9","3 out of 5","3 out of 5","3 out of 5 stars","+13"
"82",7,"Alec Pierce",IND,"WR37","13","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"83",7,"Tony Pollard",TEN,"RB29","9","3 out of 5","3 out of 5","3 out of 5 stars","-10"
"84",7,"Courtland Sutton",DEN,"WR38","10","2 out of 5","4 out of 5","2 out of 5 stars","-10"
"85",7,"Sam LaPorta",DET,"TE8","6","4 out of 5","2 out of 5","3 out of 5 stars","-14"
"86",7,"Chuba Hubbard",CAR,"RB30","5","2 out of 5","4 out of 5","1 out of 5 stars","-2"
"87",7,"Josh Downs",IND,"WR39","13","3 out of 5","3 out of 5","4 out of 5 stars","+25"
"88",7,"Wan'Dale Robinson",TEN,"WR40","9","3 out of 5","4 out of 5","3 out of 5 stars","+3"
"89",7,"Jordyn Tyson",NO,"WR41","8","4 out of 5","4 out of 5","3 out of 5 stars","-4"
"90",7,"Rico Dowdle",PIT,"RB31","9","4 out of 5","4 out of 5","2 out of 5 stars","-9"
"",7
"91",7,"Michael Wilson",ARI,"WR42","14","-","-","2 out of 5 stars","-4"
"92",7,"Jaxson Dart",NYG,"QB11","8","4 out of 5","4 out of 5","4 out of 5 stars","-6"
"93",7,"RJ Harvey",DEN,"RB32","10","2 out of 5","4 out of 5","2 out of 5 stars","-15"
"94",7,"Brock Purdy",SF,"QB12","8","4 out of 5","2 out of 5","1 out of 5 stars","+8"
"95",7,"Travis Kelce",KC,"TE9","5","3 out of 5","3 out of 5","4 out of 5 stars","+5"
"96",8,"Jakobi Meyers",JAC,"WR43","7","2 out of 5","3 out of 5","4 out of 5 stars","+2"
"97",8,"Kenny Gainwell",TB,"RB33","10","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"98",8,"Quentin Johnston",LAC,"WR44","7","4 out of 5","4 out of 5","2 out of 5 stars","+7"
"99",8,"Makai Lemon",PHI,"WR45","10","4 out of 5","3 out of 5","4 out of 5 stars","-4"
"100",8,"Bo Nix",DEN,"QB13","10","4 out of 5","2 out of 5","3 out of 5 stars","+15"
"101",8,"Patrick Mahomes II",KC,"QB14","5","3 out of 5","4 out of 5","2 out of 5 stars","0"
"102",8,"J.K. Dobbins",DEN,"RB34","10","4 out of 5","4 out of 5","2 out of 5 stars","-12"
"103",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","3 out of 5","3 out of 5 stars","-6"
"104",8,"Kyle Monangai",CHI,"RB35","10","4 out of 5","4 out of 5","2 out of 5 stars","-11"
"105",8,"Jared Goff",DET,"QB16","6","3 out of 5","2 out of 5","5 out of 5 stars","+16"
"106",8,"Rachaad White",WAS,"RB36","7","4 out of 5","2 out of 5","4 out of 5 stars","0"
"107",8,"George Kittle",SF,"TE10","8","4 out of 5","4 out of 5","3 out of 5 stars","-15"
"108",8,"Jordan Addison",MIN,"WR46","6","4 out of 5","3 out of 5","5 out of 5 stars","0"
"109",8,"Jayden Reed",GB,"WR47","11","4 out of 5","4 out of 5","5 out of 5 stars","+9"
"110",8,"Blake Corum",LAR,"RB37","11","4 out of 5","4 out of 5","5 out of 5 stars","-6"
"111",8,"Jake Ferguson",DAL,"TE11","14","2 out of 5","4 out of 5","2 out of 5 stars","+2"
"112",8,"Aaron Jones Sr.",MIN,"RB38","6","1 out of 5","4 out of 5","4 out of 5 stars","-2"
"113",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+20"
"114",8,"Dalton Kincaid",BUF,"TE12","7","2 out of 5","4 out of 5","3 out of 5 stars","+10"
"115",8,"Jonathon Brooks",CAR,"RB39","5","4 out of 5","4 out of 5","1 out of 5 stars","-8"
"116",8,"Baker Mayfield",TB,"QB18","10","2 out of 5","4 out of 5","2 out of 5 stars","+15"
"117",8,"Jordan Love",GB,"QB19","11","4 out of 5","3 out of 5","4 out of 5 stars","+26"
"118",8,"Jayden Higgins",HOU,"WR48","8","4 out of 5","3 out of 5","3 out of 5 stars","+17"
"119",8,"Jacory Croskey-Merritt",WAS,"RB40","7","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"120",8,"Isaiah Likely",NYG,"TE13","8","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"121",8,"Khalil Shakir",BUF,"WR49","7","2 out of 5","4 out of 5","4 out of 5 stars","+9"
"122",8,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+20"
"123",8,"Dallas Goedert",PHI,"TE14","10","4 out of 5","4 out of 5","4 out of 5 stars","-12"
"124",8,"Xavier Worthy",KC,"WR50","5","4 out of 5","4 out of 5","2 out of 5 stars","+3"
"125",8,"Jordan Mason",MIN,"RB41","6","3 out of 5","4 out of 5","4 out of 5 stars","-5"
"126",8,"Mark Andrews",BAL,"TE15","13","4 out of 5","4 out of 5","4 out of 5 stars","-4"
"127",8,"Jalen Coker",CAR,"WR51","5","4 out of 5","3 out of 5","2 out of 5 stars","+13"
"128",8,"Romeo Doubs",NE,"WR52","11","3 out of 5","3 out of 5","2 out of 5 stars","-2"
"129",9,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+27"
"130",9,"Tyrone Tracy Jr.",NYG,"RB42","8","4 out of 5","3 out of 5","4 out of 5 stars","+6"
"131",9,"KC Concepcion",CLE,"WR53","11","4 out of 5","3 out of 5","3 out of 5 stars","-2"
"132",9,"Matthew Golden",GB,"WR54","11","4 out of 5","4 out of 5","5 out of 5 stars","-7"
"133",9,"Woody Marks",HOU,"RB43","8","3 out of 5","4 out of 5","4 out of 5 stars","-1"
"134",9,"Tyler Allgeier",ARI,"RB44","14","3 out of 5","4 out of 5","2 out of 5 stars","+15"
"135",9,"Sam Darnold",SEA,"QB22","11","2 out of 5","4 out of 5","4 out of 5 stars","+51"
"136",9,"C.J. Stroud",HOU,"QB23","8","3 out of 5","3 out of 5","4 out of 5 stars","+37"
"137",9,"Tyjae Spears",TEN,"RB45","9","3 out of 5","4 out of 5","3 out of 5 stars","+14"
"138",9,"Chris Rodriguez Jr.",JAC,"RB46","7","3 out of 5","4 out of 5","4 out of 5 stars","+7"
"139",9,"Rashid Shaheed",SEA,"WR55","11","4 out of 5","4 out of 5","3 out of 5 stars","+2"
"140",9,"Alvin Kamara",NO,"RB47","8","2 out of 5","4 out of 5","3 out of 5 stars","-1"
"141",9,"Juwan Johnson",NO,"TE16","8","4 out of 5","4 out of 5","2 out of 5 stars","+7"
"142",9,"Zach Charbonnet",SEA,"RB48","11","3 out of 5","4 out of 5","4 out of 5 stars","-14"
"143",9,"Dylan Sampson",CLE,"RB49","11","4 out of 5","2 out of 5","3 out of 5 stars","+46"
"144",9,"Chig Okonkwo",WAS,"TE17","7","4 out of 5","3 out of 5","1 out of 5 stars","+14"
"145",9,"Isiah Pacheco",DET,"RB50","6","2 out of 5","4 out of 5","5 out of 5 stars","+2"
"146",9,"Cam Ward",TEN,"QB24","9","4 out of 5","4 out of 5","3 out of 5 stars","+37"
